qid,kind,query,use_retrieval,runs,accuracy,hallucination,consistency_distinct_lines,first_answer,refused,top_source,system
Q1,answerable,Which constituency did the NDC win in 2020 in Ashanti Region?,True,2,0,0,1,I don't have enough information in my source documents to answer that.,1,Ghana_Election_Result.csv,RAG
Q1,answerable,Which constituency did the NDC win in 2020 in Ashanti Region?,False,2,0,0,1,I don't have enough information in my source documents to answer that.,1,,LLM-only
Q2,answerable,What is the projected fiscal deficit for 2025 in Ghana?,True,2,1,0,1,"The projected fiscal deficit for 2025 in Ghana is 3.1 percent of GDP on a commitment basis and 4.1 percent of GDP on a cash basis [:#1, #5].",0,2025_Budget_Statement.pdf,RAG
Q2,answerable,What is the projected fiscal deficit for 2025 in Ghana?,False,2,0,0,1,I don't have enough information in my source documents to answer that.,1,,LLM-only
Q3_ambiguous,ambiguous,What did the government do about taxes?,True,2,1,0,2,"The government took several measures regarding taxes. They will abolish certain taxes, including the 10% withholding tax on winnings from lottery, the Electronic Transfer Levy of 1%, the Emission Levy on industries and vehicles, the VAT on motor vehicle insurance policy, and the 1.5% withholding tax on winnings of unprocessed gold by small-scale miners [:#4]. They will also remove taxes that are i",0,2025_Budget_Statement.pdf,RAG
Q3_ambiguous,ambiguous,What did the government do about taxes?,False,2,0,0,1,I don't have enough information in my source documents to answer that.,1,,LLM-only
Q4_misleading,misleading,How many votes did the NPP win in the 2030 Ghanaian election?,True,2,0,0,1,I don't have enough information in my source documents to answer that.,1,2025_Budget_Statement.pdf,RAG
Q4_misleading,misleading,How many votes did the NPP win in the 2030 Ghanaian election?,False,2,0,0,1,I don't have enough information in my source documents to answer that.,1,,LLM-only
Q5_unanswerable,unanswerable,What is the exchange rate of the Ghana cedi to Japanese yen today?,True,2,0,0,1,I don't have enough information in my source documents to answer that.,1,2025_Budget_Statement.pdf,RAG
Q5_unanswerable,unanswerable,What is the exchange rate of the Ghana cedi to Japanese yen today?,False,2,0,0,1,I don't have enough information in my source documents to answer that.,1,,LLM-only
